patient_id,dice
case_000,0.7530
case_001,0.5644
case_002,0.9572
case_003,0.5974
case_004,0.8573
case_005,0.8759
case_006,0.8195
case_007,0.8099
case_008,0.8370
case_009,0.7969
case_010,0.7500
case_011,0.5174
case_012,0.9185
case_013,0.8007
case_014,0.7408
case_015,0.9316
case_016,0.9343
case_017,0.9053
case_018,0.2646
case_019,0.7210
case_020,0.8681
case_021,0.8907
case_022,0.8846
case_023,0.8852
case_024,0.8818
case_025,0.9190
case_026,0.2378
case_027,0.9014
case_028,0.7345
case_029,0.8098
case_030,0.7149
case_031,0.9473
case_032,0.8419
case_033,0.8963
case_034,0.4271
case_035,0.8695
case_036,0.8137
case_037,0.6522
case_038,0.3676
case_039,0.8660
case_040,0.0502
case_041,0.9677
case_042,0.7876
case_044,0.9213
case_046,0.7163
case_047,0.7544
case_048,0.8016
case_049,0.9318
case_050,0.3910
case_051,0.8462
case_052,0.4622
case_053,0.8630
case_054,0.7223
case_055,0.8882
case_056,0.9261
case_057,0.9282
case_058,0.9334
case_059,0.9178
case_060,0.8642
case_061,0.8542
case_062,0.6599
case_063,0.8811
case_064,0.8430
case_065,0.8339
case_066,0.6485
case_067,0.8832
case_068,0.5217
case_069,0.8667
case_070,0.1209
case_071,0.9338
case_072,0.8952
case_073,0.8927
case_074,0.5183
case_075,0.8812
case_076,0.6850
case_077,0.9440
case_078,0.7658
case_079,0.8345
case_080,0.8585
case_081,0.9340
case_082,0.6172
case_083,0.8527
case_084,0.5026
case_085,0.7418
case_086,0.0000
case_087,0.8764
case_088,0.8588
case_089,0.5301
case_090,0.8117
case_091,0.7941
case_092,0.7981
case_093,0.8534
case_094,0.9469
case_095,0.8137
case_096,0.9466
case_097,0.7958
case_098,0.8432
case_099,0.7143
case_100,0.7282
case_101,0.0273
case_102,0.7786
case_103,0.1833
case_104,0.8785
case_105,0.8322
case_106,0.8225
case_107,0.7504
case_108,0.8942
case_109,0.6329
case_110,0.4159
case_111,0.8231
case_112,0.8709
case_113,0.4186
case_114,0.9032
case_115,0.8384
case_116,0.8531
case_117,0.7817
case_118,0.8648
case_119,0.1658
case_120,0.8163
case_121,0.9340
case_122,0.7854
case_123,0.9212
case_124,0.9354
case_125,0.4292
case_126,0.9584
case_127,0.8629
case_128,0.9529
case_129,0.8546
case_130,0.7753
case_131,0.8985
case_132,0.8094
case_133,0.7745
case_134,0.8311
case_135,0.8510
case_136,0.9094
case_137,0.9061
case_138,0.8684
case_139,0.8225
case_140,0.7108
case_141,0.6877
case_142,0.3452
case_143,0.8887
case_144,0.9398
case_145,0.7302
case_146,0.7888
case_147,0.4717
case_148,0.8087
case_149,0.9308
case_150,0.8300
case_151,0.6274
case_152,0.8969
case_153,0.3250
case_154,0.6516
case_155,0.8410
case_156,0.7933
case_157,0.9115
case_158,0.9375
case_159,0.8640
case_160,0.6020
case_161,0.8286
case_162,0.3928
case_163,0.8939
case_164,0.8996
case_165,0.9276
case_166,0.8837
case_167,0.9013
case_168,0.9257
case_169,0.9098
case_170,0.7400
case_171,0.9570
case_172,0.0000
case_173,0.8472
case_174,0.2574
case_175,0.9050
case_176,0.7471
case_177,0.6408
case_178,0.8753
case_179,0.4121
case_180,0.8026
case_181,0.9435
case_182,0.8364
case_183,0.8687
case_184,0.9322
case_185,0.8441
case_186,0.9443
case_187,0.8105
case_188,0.7603
case_189,0.9094
case_190,0.9221
case_191,0.9014
case_192,0.8336
case_193,0.9007
case_194,0.8994
case_195,0.7639
case_196,0.8941
case_197,0.9492
case_198,0.7339
case_199,0.7459
case_200,0.8892
case_201,0.8287
case_202,0.8721
case_203,0.7663
case_204,0.9396
case_205,0.2890
case_206,0.8814
case_207,0.9531
case_208,0.8904
case_209,0.9496
case_210,0.8993
case_211,0.9287
case_212,0.6196
case_213,0.6976
case_214,0.8715
case_215,0.9205
case_216,0.8282
case_217,0.9176
case_218,0.9140
case_219,0.9395
case_220,0.9317
case_221,0.9374
case_222,0.8380
case_223,0.9316
case_224,0.9297
case_225,0.7327
case_226,0.9756
case_227,0.9162
case_228,0.9497
case_229,0.9540
case_230,0.9239
case_231,0.8496
case_232,0.7561
case_233,0.7777
case_234,0.9165
case_235,0.8007
case_236,0.5802
case_237,0.9288
case_238,0.8603
case_239,0.9497
case_240,0.7918
case_241,0.8495
case_242,0.8231
case_243,0.8277
case_244,0.8397
case_245,0.9485
case_246,0.9379
case_247,0.7459
case_248,0.8636
case_249,0.9024
case_250,0.5574
case_251,0.8865
case_252,0.8325
case_253,0.8610
case_254,0.8671
case_255,0.2076
case_256,0.9180
case_257,0.6845
case_258,0.9673
case_259,0.9261
case_260,0.9189
case_261,0.9339
case_262,0.8987
case_263,0.8809
case_264,0.8760
case_265,0.9481
case_266,0.8430
case_267,0.7746
case_268,0.6643
case_269,0.7878
case_270,0.9452
case_271,0.8957
case_272,0.6500
case_273,0.9541
case_274,0.9141
case_275,0.9490
case_276,0.7890
case_277,0.8882
case_278,0.0676
case_279,0.8842
case_280,0.8773
case_281,0.9265
case_282,0.9577
case_283,0.8491
case_284,0.7990
case_285,0.9032
case_286,0.3897
case_287,0.9092
case_288,0.8692
case_289,0.9342
case_290,0.6947
case_291,0.9230
case_292,0.8190
case_293,0.6113
case_294,0.8225
case_295,0.9264
case_296,0.7394
case_297,0.8498
case_298,0.9258
case_299,0.6046
case_300,0.9532
case_301,0.9434
case_302,0.9072
case_303,0.9257
case_304,0.8520
case_305,0.5584
