case_id,case_type,problem_category,dice_score,baseline_volume,gt_volume,volume_ratio,num_components_baseline,num_components_gt,largest_component_baseline,largest_component_gt,fragmentation_baseline,compactness,com_distance,shape
DUKE_019,OTHER,GOOD,0.7411338432822164,10148,17175,0.5908588064046579,1,27,10148,17131,0.09854158454867955,0.309390243902439,0.8653621621343208,"[320, 320, 160]"
DUKE_021,OTHER,MODERATE,0.5535327087509716,9965,14478,0.6882856748169637,3,9,9620,14455,0.3010536879076769,0.08488798023681744,8.67447737378449,"[512, 512, 176]"
DUKE_028,OTHER,EXCELLENT,0.9558135667214103,186518,198306,0.9405565136707916,1,73,186518,198168,0.0053614128395114685,0.4248856450348988,1.1623640044757664,"[448, 448, 208]"
DUKE_044,OTHER,GOOD,0.7978666666666666,3028,4472,0.6771019677996423,1,2,3028,4471,0.33025099075297226,0.5293706293706294,1.721908737860448,"[448, 448, 128]"
DUKE_046,OTHER,EXCELLENT,0.8488259323478414,74092,62016,1.1947239422084623,12,43,74034,61129,0.1619608054850726,0.12250661375661376,2.223111336159382,"[448, 448, 256]"
DUKE_055,OTHER,EXCELLENT,0.8824546240276577,3415,3527,0.9682449673943861,2,9,3355,3508,0.5856515373352855,0.04250684590490416,3.8002381029700993,"[512, 512, 170]"
DUKE_057,OTHER,EXCELLENT,0.8153675440670874,142455,132410,1.0758628502378975,28,382,140908,130274,0.19655329753255413,0.20681019714874713,7.536627647745982,"[448, 448, 112]"
DUKE_060,OTHER,EXCELLENT,0.8829557713052859,13174,16490,0.7989084293511219,2,23,13167,16443,0.1518141794443601,0.010998772719303372,1.5473541250895808,"[512, 512, 178]"
DUKE_069,OTHER,EXCELLENT,0.8529067499024581,3874,3815,1.015465268676278,1,9,3874,3805,0.2581311306143521,0.3660241874527589,1.4216500572775304,"[512, 512, 196]"
DUKE_086,OTHER,GOOD,0.7835539864666078,29208,38772,0.7533271432992882,17,19,15195,33193,0.5820323199123528,0.015044968012444756,8.793069714146581,"[448, 448, 208]"
DUKE_099,OTHER,EXCELLENT,0.8011556478079156,18085,17566,1.029545713309803,12,59,14927,17080,0.6635333149018523,0.008839198435972629,50.96585631276333,"[512, 512, 148]"
DUKE_101,OTHER,GOOD,0.6568698722608786,10524,8734,1.2049461873139455,3,33,10515,8664,0.28506271379703535,0.01119126817358163,3.1071099838962444,"[448, 448, 160]"
DUKE_116,OTHER,EXCELLENT,0.8669511249030256,14378,16558,0.8683415871482063,4,51,13576,16212,0.2782028098483795,0.011384222661396574,13.473459697416322,"[448, 448, 176]"
DUKE_120,OTHER,MODERATE,0.5439019862632263,3209,2178,1.4733700642791552,7,11,1498,2140,2.181364911187286,0.0007686625224203217,141.14091350477548,"[448, 448, 60]"
DUKE_134,OTHER,EXCELLENT,0.8314907872696817,1630,1355,1.2029520295202951,3,2,1419,1268,1.8404907975460123,0.002533589490111229,20.179453672765582,"[512, 512, 142]"
DUKE_136,OTHER,EXCELLENT,0.9114611624117328,6505,6382,1.0192729551864619,10,10,6110,6350,1.5372790161414296,0.008303972630718954,19.09906012609092,"[512, 512, 170]"
DUKE_157,OTHER,EXCELLENT,0.9149384079871605,22008,25969,0.847471985829258,1,51,22008,25862,0.04543802253725918,0.4202085004009623,0.5612022438566235,"[448, 448, 176]"
DUKE_163,OTHER,EXCELLENT,0.8678689053179484,78697,94979,0.8285726318449341,3,138,75424,94656,0.0381208940620354,0.05193287403653257,8.514601084726639,"[512, 512, 150]"
DUKE_167,OTHER,MODERATE,0.39894959064929714,23698,15144,1.5648441627047016,8,101,7970,14603,0.3375812304835851,0.0018771733878314046,185.373111459981,"[512, 512, 176]"
DUKE_189,OTHER,EXCELLENT,0.8888756159474391,15992,17493,0.9141942491282227,1,45,15992,17383,0.0625312656328164,0.24378792036342573,3.2540146084989914,"[448, 448, 160]"
DUKE_205,OTHER,EXCELLENT,0.8799609084763008,66712,82681,0.8068601008696072,6,126,66606,82153,0.08993884158772035,0.18167755991285403,3.086584344237728,"[512, 512, 160]"
DUKE_234,OTHER,EXCELLENT,0.8446424198607694,43427,42330,1.0259154264115284,3,46,39535,42102,0.06908144702604371,0.01799247603185257,23.690776195688695,"[512, 512, 192]"
DUKE_237,OTHER,EXCELLENT,0.8988853901134602,10490,9517,1.1022381002416728,3,1,10225,9517,0.2859866539561487,0.04265059849076243,2.966998402665981,"[320, 320, 144]"
DUKE_244,OTHER,EXCELLENT,0.9130180481283422,12306,11630,1.0581255374032674,3,1,12304,11630,0.24378352023403219,0.4330049261083744,0.3887161501648188,"[512, 512, 156]"
DUKE_253,OTHER,EXCELLENT,0.8223133131349135,5259,5963,0.8819386214992454,4,17,4647,5928,0.7606008746910058,0.013992656449553002,11.73570257546925,"[448, 448, 208]"
DUKE_271,OTHER,EXCELLENT,0.9377136152629699,9962,9641,1.0332953013172907,2,1,9961,9641,0.2007628990162618,0.4919506172839506,0.6095311803976721,"[320, 320, 160]"
DUKE_283,OTHER,VERY_POOR,0.07514582329962005,143507,5989,23.961763232593086,26,10,103242,5977,0.18117583114412536,0.012958220040973066,173.07500956932728,"[512, 512, 176]"
DUKE_285,OTHER,MODERATE,0.5510923506930581,59541,28114,2.1178416447321617,4,15,26192,27965,0.06718059824322736,0.01436324653131251,150.82696374444652,"[512, 512, 176]"
DUKE_287,OTHER,GOOD,0.7203720443408345,32293,51783,0.6236216518934785,21,892,29898,40138,0.6502957297247082,0.06726545201558898,10.480771406281622,"[512, 512, 166]"
DUKE_303,OTHER,MODERATE,0.5928214180641365,25793,14995,1.7201067022340781,8,26,12109,14924,0.31016167177141085,0.009540157950957678,175.1099625225701,"[512, 512, 168]"
DUKE_307,OTHER,EXCELLENT,0.8740200348432056,8742,9626,0.9081653854145024,9,20,8703,9551,1.029512697323267,0.21642899584076056,1.2821004956917328,"[448, 448, 208]"
DUKE_317,OTHER,EXCELLENT,0.9492697067677556,21619,23226,0.9308102988030655,1,45,21619,23137,0.04625560849252972,0.3185823754789272,0.2963168645888828,"[512, 512, 168]"
DUKE_323,OTHER,EXCELLENT,0.8839990972692394,4787,4075,1.1747239263803682,1,1,4787,4075,0.20889910173386256,0.3666513480392157,0.5314592028078264,"[448, 448, 128]"
DUKE_346,OTHER,EXCELLENT,0.8872169055557961,43802,48570,0.9018324068354951,3,32,43048,48443,0.06849002328660792,0.037537707390648566,3.2518460239984543,"[512, 512, 176]"
DUKE_353,OTHER,MODERATE,0.3994893017522233,4710,18004,0.2616085314374583,5,43,4676,17916,1.0615711252653928,0.1440014675308793,9.25720554255002,"[448, 448, 176]"
DUKE_377,OTHER,EXCELLENT,0.8378656870211908,11915,10406,1.1450124927926197,8,36,10753,10252,0.6714225765841377,0.04499248551857474,18.185451493053446,"[512, 512, 176]"
DUKE_383,OTHER,EXCELLENT,0.801787048109327,229315,341011,0.6724563137259502,5,563,228772,339096,0.021804068639208075,0.07675379141605332,4.760856154465515,"[512, 512, 146]"
DUKE_385,OTHER,MODERATE,0.43741554476752914,63624,36281,1.7536451586229707,33,74,36168,29844,0.5186721991701244,0.006245092188334328,129.85628896010897,"[448, 448, 240]"
DUKE_397,OTHER,GOOD,0.6514664523905183,6106,3850,1.585974025974026,11,11,3598,3789,1.8015067147068458,0.05746282702804442,15.813577040047083,"[512, 512, 180]"
DUKE_398,OTHER,GOOD,0.6527350952673633,4154,2354,1.7646559048428208,2,11,2304,2342,0.4814636494944632,0.004765723503139481,90.01762226387216,"[448, 448, 144]"
DUKE_408,OTHER,GOOD,0.7270501835985312,729,905,0.8055248618784531,1,1,729,905,1.0,0.2571428571428571,2.077835213432644,"[512, 512, 186]"
